transaction_id,region_id
3000002,299
3000005,181
3000006,123
3000007,502
3000009,299
3000010,126
3000011,299
3000012,123
3000013,226
3000014,420
3000017,123
3000019,204
3000021,325
3000022,204
3000023,251
3000024,472
3000025,315
3000026,485
3000027,485
3000028,330
3000029,330
3000030,299
3000031,123
3000032,299
3000033,220
3000034,191
3000035,315
3000036,220
3000037,494
3000038,325
3000039,220
3000040,123
3000042,220
3000043,325
3000045,299
3000046,512
3000047,325
3000048,502
3000049,325
3000050,158
3000051,264
3000052,299
3000053,330
3000054,325
3000055,203
3000056,498
3000058,433
3000059,420
3000060,110
3000062,191
3000063,330
3000064,264
3000065,325
3000066,264
3000067,299
3000068,512
3000069,448
3000070,194
3000071,143
3000072,299
3000073,330
3000074,498
3000075,181
3000076,299
3000080,299
3000081,123
3000082,126
3000083,315
3000085,498
3000086,204
3000087,204
3000088,315
3000089,184
3000090,204
3000091,420
3000092,251
3000094,512
3000096,315
3000097,191
3000098,299
3000099,204
3000100,299
3000101,204
3000102,325
3000103,204
3000104,272
3000105,330
3000106,158
3000107,204
3000108,191
3000109,123
3000110,325
3000111,299
3000112,343
3000115,325
3000116,299
3000117,143
3000118,225
3000119,330
3000121,444
3000122,472
3000124,299
3000125,433
3000126,476
3000128,184
3000129,299
3000130,204
3000131,327
3000132,299
3000133,325
3000134,441
3000135,299
3000136,204
3000137,428
3000139,264
3000140,264
3000141,330
3000142,512
3000143,433
3000144,123
3000145,177
3000146,325
3000147,123
3000148,315
3000149,181
3000150,512
3000151,310
3000152,126
3000153,299
3000154,441
3000155,433
3000156,337
3000157,299
3000158,126
3000159,315
3000160,177
3000161,476
3000162,476
3000163,204
3000165,299
3000166,299
3000167,177
3000168,220
3000169,387
3000170,184
3000171,225
3000173,299
3000174,170
3000175,337
3000176,226
3000177,476
3000179,512
3000180,264
3000181,436
3000182,315
3000183,220
3000185,264
3000187,181
3000188,191
3000189,177
3000191,299
3000193,264
3000194,441
3000198,194
3000199,327
3000200,325
3000201,264
3000202,325
3000203,299
3000205,204
3000206,204
3000207,325
3000208,384
3000209,299
3000210,325
3000211,299
3000212,327
3000213,384
3000214,123
3000215,315
3000216,420
3000218,299
3000219,205
3000220,384
3000221,122
3000222,299
3000223,476
3000224,220
3000225,158
3000226,123
3000228,184
3000229,299
3000230,315
3000231,299
3000233,299
3000235,472
3000236,204
3000238,110
3000239,231
3000240,384
3000241,428
3000243,123
3000244,299
3000245,472
3000246,325
3000248,122
3000249,264
3000251,251
3000252,436
3000253,472
3000254,476
3000255,194
3000256,225
3000257,205
3000258,299
3000259,225
3000260,325
3000261,204
3000262,204
3000263,205
3000264,315
3000265,123
3000266,204
3000267,444
3000268,337
3000269,325
3000270,315
3000271,123
3000272,177
3000273,204
3000275,337
3000276,191
3000277,325
3000278,299
3000279,251
3000281,485
3000282,123
3000283,315
3000284,123
3000285,476
3000286,299
3000287,181
3000288,299
3000289,225
3000290,191
3000292,264
3000293,299
3000294,476
3000295,110
3000296,299
3000297,205
3000298,110
3000299,181
3000300,110
3000301,325
3000302,512
3000303,498
3000304,441
3000306,310
3000307,220
3000308,269
3000309,204
3000310,310
3000311,220
3000313,512
3000315,299
3000316,122
3000318,225
3000319,469
3000320,325
3000323,384
3000324,264
3000325,225
3000326,204
3000328,310
3000329,330
3000330,204
3000331,310
3000332,476
3000334,264
3000335,204
3000336,123
3000337,330
3000338,110
3000339,264
3000340,123
3000341,325
3000342,220
3000343,220
3000344,433
3000345,337
3000346,325
3000347,204
3000348,310
3000349,325
3000350,441
3000351,337
3000352,337
3000353,472
3000354,220
3000355,191
3000356,220
3000357,476
3000358,441
3000359,485
3000360,315
3000361,204
3000362,264
3000363,177
3000364,123
3000365,299
3000366,123
3000367,337
3000368,264
3000369,264
3000370,143
3000371,485
3000372,337
3000373,325
3000374,325
3000375,512
3000376,123
3000377,325
3000378,191
3000379,330
3000380,436
3000382,325
3000383,325
3000384,324
3000385,231
3000386,205
3000387,191
3000388,325
3000389,231
3000390,205
3000391,310
3000392,177
3000393,220
3000394,205
3000395,325
3000396,123
3000397,123
3000398,204
3000399,299
3000400,485
3000401,337
3000402,337
3000404,315
3000405,330
3000406,191
3000407,337
3000408,226
3000409,251
3000410,204
3000411,433
3000412,299
3000413,203
3000414,272
3000415,203
3000416,433
3000417,337
3000418,264
3000419,324
3000420,191
3000421,220
3000422,325
3000423,231
3000424,387
3000425,384
3000426,330
3000427,264
3000428,295
3000429,325
3000430,191
3000431,337
3000432,330
3000433,325
3000434,325
3000435,264
3000436,264
3000437,384
3000438,272
3000439,181
3000440,204
3000441,272
3000442,143
3000444,204
3000445,299
3000446,191
3000448,337
3000449,191
3000450,337
3000451,315
3000452,205
3000453,325
3000454,315
3000455,123
3000456,299
3000457,325
3000458,420
3000459,269
3000460,123
3000461,325
3000462,433
3000463,448
3000464,225
3000465,494
3000466,325
3000467,191
3000468,325
3000469,220
3000470,272
3000471,220
3000472,325
3000473,299
3000474,204
3000475,494
3000476,272
3000477,315
3000478,325
3000479,231
3000480,330
3000481,308
3000482,272
3000483,494
3000484,325
3000485,181
3000486,269
3000487,325
3000488,204
3000489,441
3000490,494
3000491,123
3000492,123
3000493,498
3000494,325
3000495,126
3000496,126
3000497,498
3000498,485
3000499,264
3000500,337
3000501,123
3000502,264
3000503,325
3000504,330
3000505,126
3000506,441
3000507,231
3000508,204
3000509,325
3000510,325
3000511,476
3000512,337
