transaction_id,device_id
3000001,SM-T810 Build/NRD90M | Android 7.0 | chrome 62.0 for android | 2048x1536
3000003, |  | chrome 62.0 | 
3000004, |  | chrome 62.0 | 
3000008,Windows |  | chrome 62.0 | 
3000013,Windows | Windows 10 | chrome 62.0 | 
3000016,Moto G (5) Plus Build/NPN25.137-72 |  | android webview 4.0 | 
3000018, |  | chrome 62.0 | 
3000019,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1334x750
3000028,SM-G930V Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080
3000029,SM-G930V Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080
3000038,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1136x640
3000044,Windows |  | chrome 62.0 | 
3000057,Moto G (5) Build/NPP25.137-72 |  | chrome generic | 
3000061,Windows |  | chrome 62.0 | 
3000063,MacOS | Mac OS X 10_13_1 | chrome 61.0 | 1440x900
3000064,MacOS | Mac OS X 10_13_1 | chrome 62.0 | 1440x900
3000065,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242
3000075,iOS Device | iOS 11.1.2 | mobile safari uiwebview | 2048x1536
3000077, |  | chrome 61.0 | 
3000078, |  | mobile safari generic | 
3000079, |  | mobile safari 10.0 | 
3000084, |  | firefox 57.0 | 
3000086,iOS Device | iOS 10.3.2 | mobile safari 10.0 | 2048x1536
3000087,iOS Device | iOS 10.3.2 | mobile safari 10.0 | 2048x1536
3000090,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242
3000093, |  | mobile safari 11.0 | 
3000095, |  | chrome 62.0 | 
3000101,iOS Device | iOS 10.3.2 | mobile safari 10.0 | 2048x1536
3000102,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242
3000103,iOS Device | iOS 10.3.2 | mobile safari 10.0 | 2048x1536
3000105,iOS Device | iOS 10.0.2 | mobile safari 10.0 | 1334x750
3000107,iOS Device | iOS 10.3.2 | mobile safari 10.0 | 2048x1536
3000113, |  | mobile safari generic | 
3000120, |  | chrome 62.0 for ios | 
3000123,ALE-L23 Build/HuaweiALE-L23 |  | chrome 46.0 for android | 
3000127,Windows |  | chrome 62.0 | 
3000128,Windows | Windows 10 | chrome 62.0 | 1920x1080
3000135,Trident/7.0 | Windows 10 | ie 11.0 for desktop | 1366x768
3000138,Windows |  | chrome 62.0 | 
3000139,Windows | Windows 7 | chrome 62.0 | 1366x768
3000150,iOS Device | iOS 10.3.3 | mobile safari 10.0 | 1334x750
3000152,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1334x750
3000155,Z836BL | Android 6.0.1 | chrome 53.0 for android | 855x480
3000156,MacOS | Mac OS X 10_9_5 | safari generic | 1280x800
3000158,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1334x750
3000164,Windows |  | chrome 62.0 | 
3000171,SM-G930V Build/NRD90M | Android 7.0 | chrome 62.0 for android | 
3000172,LG-K580 Build/MRA58K |  | chrome 62.0 for android | 
3000174,Trident/7.0 | Windows 10 | ie 11.0 for desktop | 1680x1050
3000175,MacOS | Mac OS X 10_11_6 | safari generic | 1920x1200
3000178,Windows |  | chrome 62.0 | 
3000179,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1920x1080
3000181,SM-G950U Build/NRD90M | Android 7.0 | chrome 62.0 for android | 2220x1080
3000182,SAMSUNG SM-G930T Build/NRD90M | Android 7.0 | samsung browser 6.2 | 1920x1080
3000184, |  | mobile safari generic | 
3000186,Windows |  | chrome 62.0 | 
3000190,Moto G (4) Build/NPJ25.93-14.5 |  | chrome generic | 
3000192, |  | mobile safari generic | 
3000195, |  | mobile safari generic | 
3000196,Windows |  | chrome 61.0 | 
3000197,SM-T710 Build/NRD90M |  | chrome 62.0 for android | 
3000204,SAMSUNG |  | chrome generic | 
3000205,Windows | Windows 10 | chrome 62.0 | 1366x768
3000212,iOS Device | iOS 11.1.2 | mobile safari generic | 2436x1125
3000216,Windows | Windows 10 | chrome 62.0 | 1920x1080
3000217,Windows |  | chrome 62.0 | 
3000220,MacOS | Mac OS X 10_12_6 | safari generic | 2560x1440
3000225,MacOS | Mac OS X 10_10_5 | safari generic | 2560x1440
3000226,MacOS | Mac OS X 10_11_6 | safari generic | 1440x900
3000227,F3113 Build/33.2.A.4.70 |  | chrome 62.0 for android | 
3000228,MacOS | Mac OS X 10_13_1 | chrome 62.0 | 1440x900
3000229,Windows | Windows Vista | chrome 49.0 | 1366x768
3000230,iOS Device | iOS 11.1.2 | mobile safari generic | 1334x750
3000232,Windows |  | chrome 61.0 | 
3000234, |  | chrome 61.0 | 
3000237,D5306 Build/19.4.A.0.182 |  | chrome 62.0 for android | 
3000239,Windows | Windows 10 | chrome 62.0 | 1920x1080
3000240, | Linux | chrome 59.0 | 1920x1080
3000242,Windows |  | chrome 61.0 | 
3000245,iOS Device | iOS 11.1.2 | mobile safari generic | 1334x750
3000247,Windows |  | chrome 62.0 | 
3000250,Windows |  | chrome 62.0 | 
3000256,Windows | Windows 10 | chrome 62.0 | 1920x1080
3000264,Trident/7.0 | Windows 10 | ie 11.0 for desktop | 
3000265,Windows | Windows 10 | chrome 62.0 | 1366x768
3000267,Windows | Windows 10 | chrome 62.0 | 1920x1080
3000272,MacOS | Mac OS X 10_13_1 | chrome 62.0 | 1440x900
3000274, |  | mobile safari 11.0 | 
3000275,Trident/7.0 | Windows 10 | ie 11.0 for desktop | 
3000280, |  | mobile safari 11.0 | 
3000284,RCT6303W87M7 Build/MRA58K | Android 6.0 | chrome 62.0 for android | 1280x800
3000291, |  | chrome 62.0 | 
3000293,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1136x640
3000296,MacOS | Mac OS X 10_11_6 | chrome 61.0 | 2880x1800
3000299,Windows | Windows 10 | chrome 62.0 | 1920x1080
3000303,SAMSUNG-SM-G870A Build/MMB29M | Android 6.0.1 | chrome 62.0 for android | 1920x1080
3000305, |  | chrome 62.0 | 
3000306,Windows | Windows 10 | chrome 62.0 | 1920x1080
3000312,Windows |  | chrome 62.0 | 
3000314,Blade V6 Build/LRX22G |  | chrome 62.0 for android | 
3000316,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1136x640
3000317,Windows |  | chrome 62.0 | 
3000319,iOS Device | iOS 11.1.0 | mobile safari 11.0 | 1334x750
3000321, |  | mobile safari 11.0 | 
3000322,SAMSUNG SM-J700M Build/MMB29K |  | samsung browser 6.2 | 
3000333, |  | mobile safari 11.0 | 
3000365,iOS Device | iOS 11.1.1 | mobile safari 11.0 | 1334x750
3000366,SM-G955U Build/NRD90M | Android 7.0 | chrome 62.0 for android | 
3000381,SM-G531H Build/LMY48B |  | chrome 62.0 for android | 
3000391,Windows | Windows 7 | chrome 62.0 | 1920x1080
3000400,iOS Device | iOS 11.0.3 | mobile safari 11.0 | 1136x640
3000403,SM-J727U Build/NRD90M |  | chrome 58.0 for android | 
3000447,Blade V6 Plus Build/MRA58K |  | chrome 62.0 for android | 
3000511,MacOS | Mac OS X 10_10_5 | safari generic | 2560x1440
3000519,Moto C Build/NRD90M.063 |  | chrome 62.0 for android | 
3000581,MacOS | Mac OS X 10_12_6 | chrome 62.0 | 1920x1080
3000586,MacOS | Mac OS X 10_12_6 | chrome 62.0 | 1920x1080
3000591,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 
3000609,iOS Device | iOS 11.1.1 | mobile safari 11.0 | 1136x640
3000613,LG-K428 Build/MMB29M | Android 6.0.1 | chrome 59.0 for android | 1280x720
3000622,LG-K428 Build/MMB29M | Android 6.0.1 | chrome 59.0 for android | 1280x720
3000629,iOS Device | iOS 11.1.1 | mobile safari 11.0 | 2048x1536
3000632,Windows | Windows 7 | chrome 62.0 | 1366x768
3000639,MacOS | Mac OS X 10_12_6 | safari generic | 1440x900
3000645,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1366x768
3000648,iOS Device | iOS 11.2.0 | mobile safari 11.0 | 1136x640
3000649,iOS Device | iOS 11.2.0 | mobile safari 11.0 | 1136x640
3000681,Windows | Windows 10 | firefox 57.0 | 1920x1080
3000683,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1136x640
3000693,Trident/7.0 | Windows 10 | ie 11.0 for desktop | 
3000694,iOS Device | iOS 11.0.3 | mobile safari 11.0 | 1334x750
3000705,Windows | Windows 10 | chrome 62.0 | 1366x768
3000715,rv:52.0 | Windows Vista | firefox 52.0 | 1920x1080
3000718,MacOS | Mac OS X 10_12_6 | chrome 61.0 | 
3000722,MacOS | Mac OS X 10_12_6 | chrome 62.0 | 1920x1080
3000733,rv:52.0 | Windows Vista | firefox 52.0 | 1920x1080
3000736,Windows |  | chrome 62.0 | 
3000737,iOS Device | iOS | mobile safari 10.0 | 1334x750
3000741,rv:57.0 | Windows 10 | firefox | 1366x768
3000765,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242
3000766, |  | chrome 61.0 | 
3000768,Windows |  | edge 14.0 | 
