card_id,transaction_id
C11919-K2,3000003
C11919-K2,3000004
C11919-K2,3000018
C12961-K2,3000050
C12961-K2,3000106
C00259-K1,3000120
C03277-K1,3000150
C08945-K2,3000183
C11919-K2,3000184
C11919-K2,3000192
C11919-K2,3000195
C12982-K1,3000196
C11919-K2,3000247
C11919-K2,3000250
C11000-K2,3000256
C00732-K1,3000264
C06403-K2,3000332
C01521-K2,3000443
C01521-K2,3000447
C05876-K2,3000607
C11082-K1,3000808
C09301-K2,3000824
C11082-K1,3000825
C09165-K2,3000904
C13440-K2,3000906
C00750-K2,3000987
C13259-K1,3000989
C03667-K1,3001018
C13440-K2,3001040
C11000-K2,3001075
C11227-K2,3001230
C01521-K2,3001402
C10585-K2,3001404
C10585-K2,3001462
C09165-K2,3001479
C09301-K2,3001548
C06800-K1,3001565
C12961-K2,3001568
C02250-K2,3001580
C12961-K2,3001586
C11919-K2,3001605
C07847-K2,3001611
C07212-K2,3001632
C03218-K2,3001666
C01347-K2,3001763
C08460-K1,3001781
C11923-K2,3001820
C03575-K2,3001839
C05704-K2,3001937
C05704-K2,3001952
C00750-K2,3001956
C05704-K2,3001999
C01002-K1,3002010
C07220-K1,3002019
C11919-K2,3002036
C11919-K2,3002049
C03218-K2,3002200
C03277-K1,3002210
C03277-K1,3002242
C07149-K2,3002258
C11919-K2,3002470
C06208-K1,3002476
C10112-K1,3002486
C03218-K2,3002600
C00750-K2,3002701
C04597-K2,3002758
C07212-K2,3002781
C03246-K1,3002792
C03108-K1,3002820
C03108-K1,3002828
C01579-K1,3002840
C11464-K2,3002951
C11919-K2,3002968
C10164-K1,3002981
C09885-K1,3003071
C09885-K1,3003075
C07867-K2,3003096
C07867-K2,3003109
C07867-K2,3003149
C03651-K2,3003172
C12961-K2,3003219
C12961-K2,3003250
C03218-K2,3003264
C09885-K1,3003320
C03738-K2,3003325
C03348-K1,3003331
C03348-K1,3003334
C06059-K2,3003459
C06059-K2,3003503
C13171-K2,3003521
C12311-K2,3003546
C04108-K2,3003589
C07741-K2,3003607
C04265-K1,3003708
C06549-K1,3003711
C02999-K2,3003757
C07212-K2,3003811
C06549-K1,3003833
C07648-K2,3003842
C11082-K1,3003871
C11082-K1,3003906
C04762-K1,3003913
C00750-K2,3003925
C12982-K1,3003954
C12166-K2,3004140
C11309-K1,3004228
C04034-K2,3004308
C13005-K1,3004342
C13005-K1,3004343
C08842-K2,3004354
C06549-K1,3004555
C13061-K1,3004695
C03108-K1,3004711
C03108-K1,3004734
C03108-K1,3004746
C05289-K2,3004802
C11919-K2,3004811
