customer_id,card_id
C00004,C00004-K1
C00008,C00008-K2
C00018,C00018-K1
C00019,C00019-K1
C00051,C00051-K1
C00059,C00059-K2
C00066,C00066-K1
C00071,C00071-K1
C00073,C00073-K2
C00076,C00076-K1
C00088,C00088-K1
C00094,C00094-K3
C00105,C00105-K1
C00114,C00114-K1
C00129,C00129-K2
C00137,C00137-K1
C00149,C00149-K1
C00163,C00163-K1
C00170,C00170-K1
C00178,C00178-K1
C00197,C00197-K1
C00210,C00210-K1
C00223,C00223-K1
C00227,C00227-K1
C00228,C00228-K1
C00235,C00235-K2
C00255,C00255-K1
C00259,C00259-K1
C00263,C00263-K1
C00267,C00267-K1
C00273,C00273-K1
C00280,C00280-K2
C00294,C00294-K2
C00296,C00296-K1
C00299,C00299-K1
C00306,C00306-K1
C00329,C00329-K2
C00331,C00331-K1
C00334,C00334-K1
C00337,C00337-K1
C00353,C00353-K1
C00368,C00368-K1
C00373,C00373-K1
C00391,C00391-K1
C00400,C00400-K1
C00405,C00405-K1
C00406,C00406-K1
C00409,C00409-K1
C00426,C00426-K2
C00440,C00440-K1
C00450,C00450-K1
C00452,C00452-K2
C00463,C00463-K1
C00466,C00466-K1
C00477,C00477-K2
C00488,C00488-K1
C00509,C00509-K1
C00513,C00513-K1
C00532,C00532-K1
C00534,C00534-K2
C00557,C00557-K1
C00559,C00559-K1
C00580,C00580-K1
C00583,C00583-K1
C00594,C00594-K1
C00604,C00604-K1
C00605,C00605-K1
C00606,C00606-K1
C00614,C00614-K2
C00621,C00621-K2
C00622,C00622-K1
C00637,C00637-K1
C00648,C00648-K1
C00649,C00649-K1
C00655,C00655-K1
C00667,C00667-K1
C00678,C00678-K1
C00681,C00681-K1
C00693,C00693-K1
C00722,C00722-K1
C00725,C00725-K1
C00728,C00728-K2
C00732,C00732-K1
C00745,C00745-K1
C00750,C00750-K2
C00768,C00768-K2
C00773,C00773-K2
C00777,C00777-K1
C00779,C00779-K1
C00780,C00780-K1
C00782,C00782-K1
C00783,C00783-K1
C00790,C00790-K1
C00792,C00792-K1
C00795,C00795-K1
C00796,C00796-K1
C00803,C00803-K1
C00805,C00805-K1
C00810,C00810-K1
C00820,C00820-K1
C00834,C00834-K2
C00835,C00835-K1
C00841,C00841-K1
C00842,C00842-K2
C00844,C00844-K1
C00849,C00849-K1
C00854,C00854-K2
C00866,C00866-K1
C00871,C00871-K1
C00881,C00881-K1
C00885,C00885-K1
C00887,C00887-K1
C00889,C00889-K2
C00912,C00912-K1
C00916,C00916-K1
C00930,C00930-K1
C00938,C00938-K1
C00942,C00942-K2
C00952,C00952-K1
C00953,C00953-K1
C00956,C00956-K1
C00967,C00967-K1
C00969,C00969-K2
C00978,C00978-K1
C00983,C00983-K1
C00989,C00989-K1
C00992,C00992-K1
C00997,C00997-K1
C00998,C00998-K1
C00999,C00999-K1
C01002,C01002-K1
C01010,C01010-K1
C01026,C01026-K1
C01035,C01035-K1
C01040,C01040-K2
C01058,C01058-K1
C01063,C01063-K2
C01070,C01070-K1
C01089,C01089-K1
C01099,C01099-K1
C01104,C01104-K2
C01109,C01109-K2
C01115,C01115-K1
C01116,C01116-K2
C01119,C01119-K1
C01119,C01119-K2
C01122,C01122-K1
C01123,C01123-K1
C01128,C01128-K2
C01137,C01137-K1
C01138,C01138-K2
C01140,C01140-K1
C01149,C01149-K1
C01154,C01154-K1
C01155,C01155-K2
C01166,C01166-K1
C01169,C01169-K1
C01175,C01175-K1
C01178,C01178-K1
C01179,C01179-K1
C01182,C01182-K1
C01188,C01188-K1
C01196,C01196-K1
C01209,C01209-K1
C01224,C01224-K1
C01226,C01226-K1
C01244,C01244-K1
C01254,C01254-K1
C01269,C01269-K1
C01290,C01290-K1
C01295,C01295-K1
C01301,C01301-K1
C01321,C01321-K1
C01328,C01328-K1
C01332,C01332-K1
C01333,C01333-K2
C01339,C01339-K1
C01347,C01347-K2
C01350,C01350-K1
C01352,C01352-K1
C01363,C01363-K1
C01365,C01365-K1
C01370,C01370-K1
C01377,C01377-K1
C01388,C01388-K1
C01392,C01392-K1
C01393,C01393-K1
C01400,C01400-K1
