card_id,customer_id,card_type
C00004-K1,C00004,mastercard debit
C00008-K2,C00008,mastercard debit
C00018-K1,C00018,mastercard debit
C00019-K1,C00019,mastercard debit
C00051-K1,C00051,mastercard credit
C00059-K2,C00059,visa debit
C00066-K1,C00066,visa debit
C00071-K1,C00071,visa credit
C00073-K2,C00073,visa debit
C00076-K1,C00076,mastercard credit
C00088-K1,C00088,visa credit
C00094-K3,C00094,mastercard debit
C00105-K1,C00105,visa credit
C00114-K1,C00114,american express credit
C00129-K2,C00129,visa debit
C00137-K1,C00137,visa credit
C00149-K1,C00149,american express credit
C00163-K1,C00163,american express credit
C00170-K1,C00170,visa credit
C00178-K1,C00178,american express credit
C00197-K1,C00197,visa credit
C00210-K1,C00210,visa credit
C00223-K1,C00223,mastercard debit
C00227-K1,C00227,american express credit
C00228-K1,C00228,mastercard credit
C00235-K2,C00235,visa debit
C00255-K1,C00255,
C00259-K1,C00259,visa credit
C00263-K1,C00263,american express credit
C00267-K1,C00267,visa debit
C00273-K1,C00273,mastercard credit
C00280-K2,C00280,mastercard debit
C00294-K2,C00294,visa debit
C00296-K1,C00296,mastercard credit
C00299-K1,C00299,american express credit
C00306-K1,C00306,visa debit
C00329-K2,C00329,visa debit
C00331-K1,C00331,visa debit
C00334-K1,C00334,american express credit
C00337-K1,C00337,visa credit
C00353-K1,C00353,american express credit
C00368-K1,C00368,mastercard debit
C00373-K1,C00373,visa credit
C00391-K1,C00391,visa credit
C00400-K1,C00400,visa debit
C00405-K1,C00405,visa debit
C00406-K1,C00406,visa credit
C00409-K1,C00409,visa debit
C00426-K2,C00426,mastercard credit
C00440-K1,C00440,visa credit
C00450-K1,C00450,visa credit
C00452-K2,C00452,visa debit
C00463-K1,C00463,american express credit
C00466-K1,C00466,mastercard credit
C00477-K2,C00477,visa debit
C00488-K1,C00488,visa debit
C00509-K1,C00509,visa debit
C00513-K1,C00513,mastercard debit
C00532-K1,C00532,american express credit
C00534-K2,C00534,mastercard debit
C00557-K1,C00557,visa credit
C00559-K1,C00559,visa credit
C00580-K1,C00580,american express credit
C00583-K1,C00583,visa credit
C00594-K1,C00594,visa credit
C00604-K1,C00604,american express credit
C00605-K1,C00605,mastercard debit
C00606-K1,C00606,visa credit
C00614-K2,C00614,visa debit
C00621-K2,C00621,visa debit
C00622-K1,C00622,visa credit
C00637-K1,C00637,visa debit
C00648-K1,C00648,visa credit
C00649-K1,C00649,american express credit
C00655-K1,C00655,visa credit
C00667-K1,C00667,american express credit
C00678-K1,C00678,mastercard credit
C00681-K1,C00681,visa credit
C00693-K1,C00693,visa debit
C00722-K1,C00722,mastercard credit
C00725-K1,C00725,american express credit
C00728-K2,C00728,visa debit
C00732-K1,C00732,visa debit
C00745-K1,C00745,mastercard credit
C00750-K2,C00750,discover credit
C00768-K2,C00768,visa debit
C00773-K2,C00773,mastercard debit
C00777-K1,C00777,visa debit
C00779-K1,C00779,visa debit
C00780-K1,C00780,visa debit
C00782-K1,C00782,visa debit
C00783-K1,C00783,mastercard credit
C00790-K1,C00790,visa debit
C00792-K1,C00792,mastercard credit
C00795-K1,C00795,american express credit
C00796-K1,C00796,visa credit
C00803-K1,C00803,mastercard debit
C00805-K1,C00805,american express credit
C00810-K1,C00810,mastercard debit
C00820-K1,C00820,mastercard debit
C00834-K2,C00834,visa debit
C00835-K1,C00835,american express credit
C00841-K1,C00841,mastercard credit
C00842-K2,C00842,visa debit
C00844-K1,C00844,visa credit
C00849-K1,C00849,visa credit
C00854-K2,C00854,mastercard credit
C00866-K1,C00866,visa credit
C00871-K1,C00871,visa credit
C00881-K1,C00881,visa credit
C00885-K1,C00885,visa credit
C00887-K1,C00887,visa debit
C00889-K2,C00889,visa debit
C00912-K1,C00912,american express credit
C00916-K1,C00916,visa credit
C00930-K1,C00930,visa credit
C00938-K1,C00938,visa debit
C00942-K2,C00942,mastercard debit
C00952-K1,C00952,visa debit
C00953-K1,C00953,visa credit
C00956-K1,C00956,visa debit
C00967-K1,C00967,american express credit
C00969-K2,C00969,visa debit
C00978-K1,C00978,mastercard credit
C00983-K1,C00983,mastercard credit
C00989-K1,C00989,mastercard credit
C00992-K1,C00992,american express credit
C00997-K1,C00997,american express credit
C00998-K1,C00998,mastercard credit
C00999-K1,C00999,mastercard debit
C01002-K1,C01002,mastercard credit
C01010-K1,C01010,visa debit
C01026-K1,C01026,mastercard credit
C01035-K1,C01035,american express credit
C01040-K2,C01040,visa debit
C01058-K1,C01058,visa debit
C01063-K2,C01063,visa credit
C01070-K1,C01070,visa debit
C01089-K1,C01089,visa credit
C01099-K1,C01099,visa debit
C01104-K2,C01104,visa credit
C01109-K2,C01109,visa debit
C01115-K1,C01115,american express credit
C01116-K2,C01116,visa debit
C01119-K1,C01119,nan nan
C01119-K2,C01119,visa debit
C01122-K1,C01122,mastercard credit
C01123-K1,C01123,visa debit
C01128-K2,C01128,visa debit
C01137-K1,C01137,american express credit
C01138-K2,C01138,visa debit
C01140-K1,C01140,visa credit
C01149-K1,C01149,visa credit
C01154-K1,C01154,visa credit
C01155-K2,C01155,visa credit
C01166-K1,C01166,american express credit
C01169-K1,C01169,visa debit
C01175-K1,C01175,visa debit
C01178-K1,C01178,mastercard debit
C01179-K1,C01179,mastercard debit
C01182-K1,C01182,visa debit
C01188-K1,C01188,mastercard debit
C01196-K1,C01196,american express credit
C01209-K1,C01209,mastercard debit
C01224-K1,C01224,visa credit
C01226-K1,C01226,american express credit
C01244-K1,C01244,american express credit
C01254-K1,C01254,mastercard debit
C01269-K1,C01269,visa debit
C01290-K1,C01290,visa credit
C01295-K1,C01295,mastercard credit
C01301-K1,C01301,mastercard debit
C01321-K1,C01321,visa credit
C01328-K1,C01328,visa credit
C01332-K1,C01332,mastercard credit
C01333-K2,C01333,visa debit
C01339-K1,C01339,visa credit
C01347-K2,C01347,visa credit
C01350-K1,C01350,american express credit
C01352-K1,C01352,visa debit
C01363-K1,C01363,visa debit
C01365-K1,C01365,mastercard debit
C01370-K1,C01370,mastercard debit
C01377-K1,C01377,visa debit
C01388-K1,C01388,visa credit
C01392-K1,C01392,american express credit
C01393-K1,C01393,mastercard credit
C01400-K1,C01400,mastercard credit
C01403-K1,C01403,visa credit
C01408-K1,C01408,mastercard credit
C01413-K1,C01413,visa credit
C01424-K1,C01424,visa credit
C01426-K1,C01426,american express credit
C01434-K1,C01434,mastercard credit
C01435-K1,C01435,mastercard credit
C01439-K1,C01439,visa debit
C01459-K1,C01459,visa debit
C01471-K1,C01471,visa debit
C01482-K1,C01482,mastercard credit
C01486-K1,C01486,american express credit
C01489-K1,C01489,visa debit
C01494-K1,C01494,american express credit
C01500-K1,C01500,mastercard credit
C01513-K1,C01513,visa credit
C01521-K2,C01521,visa credit
C01525-K1,C01525,nan nan
C01525-K2,C01525,visa debit
C01529-K1,C01529,visa credit
C01534-K1,C01534,visa debit
C01542-K1,C01542,visa debit
C01562-K1,C01562,visa credit
C01563-K1,C01563,visa credit
C01569-K1,C01569,american express credit
C01578-K1,C01578,american express credit
C01579-K1,C01579,mastercard debit
C01596-K2,C01596,visa debit
C01599-K1,C01599,visa credit
C01614-K1,C01614,mastercard credit
C01618-K2,C01618,mastercard debit
C01627-K1,C01627,mastercard credit
C01638-K1,C01638,mastercard credit
C01654-K1,C01654,mastercard debit
C01656-K1,C01656,mastercard debit
C01672-K1,C01672,mastercard credit
C01685-K1,C01685,visa debit
C01688-K1,C01688,american express credit
C01719-K1,C01719,visa debit
C01721-K2,C01721,mastercard debit
C01727-K2,C01727,visa debit
C01730-K1,C01730,visa credit
C01744-K2,C01744,mastercard credit
C01755-K2,C01755,visa credit
C01765-K1,C01765,visa debit
C01782-K2,C01782,discover credit
C01784-K1,C01784,mastercard debit
C01797-K1,C01797,american express credit
