device_id,device_info,device_type,os,browser,screen,match_status,is_new,is_proxy
SAMSUNG SM-G892A Build/NRD90M | Android 7.0 | samsung browser 6.2 | 2220x1080,SAMSUNG SM-G892A Build/NRD90M,mobile,Android 7.0,samsung browser 6.2,2220x1080,match_status:2,New,
iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1334x750,iOS Device,mobile,iOS 11.1.2,mobile safari 11.0,1334x750,match_status:1,New,
Windows |  | chrome 62.0 | ,Windows,desktop,,chrome 62.0,,,Found,
 |  | chrome 62.0 | ,,desktop,,chrome 62.0,,,New,
MacOS | Mac OS X 10_11_6 | chrome 62.0 | 1280x800,MacOS,desktop,Mac OS X 10_11_6,chrome 62.0,1280x800,match_status:2,Found,
Windows | Windows 10 | chrome 62.0 | 1366x768,Windows,desktop,Windows 10,chrome 62.0,1366x768,match_status:2,Found,
 | Android | chrome 62.0 | 1920x1080,,mobile,Android,chrome 62.0,1920x1080,match_status:2,Found,
SM-G930V Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080,SM-G930V Build/NRD90M,mobile,Android 7.0,chrome 62.0 for android,1920x1080,match_status:2,New,
Windows | Windows 10 | chrome 62.0 | 1680x1050,Windows,desktop,Windows 10,chrome 62.0,1680x1050,match_status:2,Found,
 | Linux | chrome 62.0 | 1920x1080,,desktop,Linux,chrome 62.0,1920x1080,match_status:2,Found,
iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1136x640,iOS Device,mobile,iOS 11.1.2,mobile safari 11.0,1136x640,match_status:1,New,
BLADE A602 Build/MRA58K |  | chrome 62.0 for android | ,BLADE A602 Build/MRA58K,mobile,,chrome 62.0 for android,,,New,
Windows | Windows 10 | edge 15.0 | ,Windows,desktop,Windows 10,edge 15.0,,match_status:2,New,
iOS Device | iOS 11.0.3 | mobile safari generic | 1334x750,iOS Device,mobile,iOS 11.0.3,mobile safari generic,1334x750,match_status:2,Found,IP_PROXY:TRANSPARENT
MacOS | Mac OS X 10_7_5 | chrome 49.0 | 1280x800,MacOS,desktop,Mac OS X 10_7_5,chrome 49.0,1280x800,match_status:2,Found,
XT1635-02 Build/NPN26.118-22-2 |  | chrome 62.0 for android | ,XT1635-02 Build/NPN26.118-22-2,mobile,,chrome 62.0 for android,,,New,
MacOS | Mac OS X 10_12_6 | chrome 61.0 | 5120x2880,MacOS,desktop,Mac OS X 10_12_6,chrome 61.0,5120x2880,match_status:2,Found,
MacOS | Mac OS X 10_12_6 | chrome 62.0 | 2880x1800,MacOS,desktop,Mac OS X 10_12_6,chrome 62.0,2880x1800,match_status:2,Found,
Windows | Windows 10 | edge 16.0 | 1920x1200,Windows,desktop,Windows 10,edge 16.0,1920x1200,match_status:2,Found,
MacOS | Mac OS X 10_13_1 | safari generic | 2560x1600,MacOS,desktop,Mac OS X 10_13_1,safari generic,2560x1600,match_status:2,New,
iOS Device | iOS 11.1.0 | mobile safari 11.0 | 2048x1536,iOS Device,mobile,iOS 11.1.0,mobile safari 11.0,2048x1536,match_status:1,New,
Windows | Windows 10 | chrome 62.0 | 1024x768,Windows,desktop,Windows 10,chrome 62.0,1024x768,match_status:2,New,
Windows | Windows 10 | edge 14.0 | 1366x768,Windows,desktop,Windows 10,edge 14.0,1366x768,match_status:2,Found,
Z970 | Android | chrome 56.0 for android | 1280x720,Z970,mobile,Android,chrome 56.0 for android,1280x720,match_status:2,New,
 | Android | chrome 62.0 | 2560x1440,,mobile,Android,chrome 62.0,2560x1440,match_status:2,Found,IP_PROXY:TRANSPARENT
Windows |  | firefox 57.0 | ,Windows,desktop,,firefox 57.0,,,New,
 |  | mobile safari 11.0 | ,,mobile,,mobile safari 11.0,,,Unknown,
iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242,iOS Device,mobile,iOS 11.1.2,mobile safari 11.0,2208x1242,match_status:1,New,
iOS Device | iOS 11.0.3 | mobile safari 11.0 | 2048x1536,iOS Device,mobile,iOS 11.0.3,mobile safari 11.0,2048x1536,match_status:1,New,
iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2001x1125,iOS Device,mobile,iOS 11.1.2,mobile safari 11.0,2001x1125,match_status:1,New,
SM-N920V Build/NRD90M | Android 7.0 | chrome 62.0 for android | ,SM-N920V Build/NRD90M,mobile,Android 7.0,chrome 62.0 for android,,match_status:2,Found,
Redmi Note 4 Build/MMB29M |  | chrome 54.0 for android | ,Redmi Note 4 Build/MMB29M,mobile,,chrome 54.0 for android,,,Found,
iOS Device | iOS 11.1.2 | mobile safari uiwebview | 2048x1536,iOS Device,mobile,iOS 11.1.2,mobile safari uiwebview,2048x1536,,New,
iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2048x1536,iOS Device,mobile,iOS 11.1.2,mobile safari 11.0,2048x1536,match_status:1,New,
Windows | Windows 10 | chrome 62.0 | 1920x1080,Windows,desktop,Windows 10,chrome 62.0,1920x1080,match_status:2,Found,
MacOS | Mac OS X 10_9_5 | chrome | 1440x900,MacOS,desktop,Mac OS X 10_9_5,chrome,1440x900,match_status:2,Found,
 |  | safari generic | ,,desktop,,safari generic,,,New,
 |  | chrome 62.0 for ios | ,,mobile,,chrome 62.0 for ios,,,Unknown,
Lenovo PB1-750M Build/S100 |  | chrome 62.0 for android | ,Lenovo PB1-750M Build/S100,mobile,,chrome 62.0 for android,,,Found,
MacOS | Mac OS X 10_13_1 | safari generic | 1600x900,MacOS,desktop,Mac OS X 10_13_1,safari generic,1600x900,,New,
Windows | Windows 7 | chrome 62.0 | 1366x768,Windows,desktop,Windows 7,chrome 62.0,1366x768,,New,
iOS Device | iOS 11.1.2 | mobile safari generic | 2208x1242,iOS Device,mobile,iOS 11.1.2,mobile safari generic,2208x1242,match_status:2,New,
